City,Region,Country,AirQuality,WaterPollution
Solingen,NorthRhine-Westphalia,Germany,87.5,50
Neuss,NorthRhine-Westphalia,Germany,50,75
Heidelberg,Baden-Wurttemberg,Germany,89.28571429,25
Paderborn,NorthRhine-Westphalia,Germany,75,25
Darmstadt,Hesse,Germany,71.875,27.5
Regensburg,Bavaria,Germany,87.5,7.142857143
Paramaribo,ParamariboDistrict,Suriname,61.36363636,54.54545455
Ingolstadt,Bavaria,Germany,100,0
Ulm,Baden-Wurttemberg,Germany,88.88888889,10
Wolfsburg,LowerSaxony,Germany,96.875,0
Kathmandu,Bagmati,Nepal,11.46341463,80.45685279
OffenbachamMain,Hesse,Germany,75,50
Belmopan,CayoDistrict,Belize,62.5,54.16666667
Pforzheim,Baden-Wurttemberg,Germany,85,25
Recklinghausen,NorthRhine-Westphalia,Germany,100,50
Bottrop,NorthRhine-Westphalia,Germany,80,0
SanJose,SanJoseProvince,CostaRica,57.43243243,46.09375
Reutlingen,Baden-Wurttemberg,Germany,85,25
Koblenz,Rhineland-Palatinate,Germany,67.85714286,41.66666667
SanSalvador,SanSalvadorDepartment,ElSalvador,18.42105263,76.5625
Canberra,AustralianCapitalTerritory,Australia,90.74675325,17.80821918
Erlangen,Bavaria,Germany,81.25,29.16666667
Sydney,,Australia,75.88996764,28.54785479
Moers,NorthRhine-Westphalia,Germany,62.5,50
Trier,Rhineland-Palatinate,Germany,85.71428571,25
Melbourne,Victoria,Australia,79.07303371,28.2234957
Jena,Thuringia,Germany,95,75
Kursk,KurskOblast,Russia,100,50
Siegen,NorthRhine-Westphalia,Germany,91.66666667,12.5
Perth,WesternAustralia,Australia,82.98755187,28.0720339
Hildesheim,LowerSaxony,Germany,62.5,50
Salzgitter,LowerSaxony,Germany,95,0
Cottbus,Brandenburg,Germany,100,50
Tegucigalpa,FranciscoMorazanDepartment,Honduras,22.61904762,88.46153846
Managua,ManaguaDepartment,Nicaragua,58.33333333,76.66666667
PanamaCity,PanamaProvince,Panama,49.23076923,67.06349206
Belgorod,BelgorodOblast,Russia,75,70.83333333
Zadar,ZadarCounty,Croatia,100,8.333333333
Trento,Trentino-SouthTyrol,Italy,86.76470588,0
Ancona,Marche,Italy,63.88888889,30
Voronezh,VoronezhOblast,Russia,36.84210526,67.10526316
Perugia,Umbria,Italy,70,50
L'Aquila,Abruzzo,Italy,87.5,50
Lipetsk,LipetskOblast,Russia,37.5,37.5
Bari,Apulia,Italy,63.33333333,22.22222222
Tambov,TambovOblast,Russia,62.5,45
Sibenik,Sibenik-KninCounty,Croatia,100,0
Rabat,Rabat-Sale-Kenitra,Morocco,68.33333333,31.73076923
Algiers,AlgiersProvince,Algeria,39.74358974,60.29411765
Tunis,TunisGovernorate,Tunisia,36.25,61.11111111
Tripoli,,Libya,54.62962963,68.51851852
NovyJicin,,CzechRepublic,62.5,50
Djibouti,DjiboutiRegion,Djibouti,54.16666667,54.16666667
Antofagasta,AntofagastaRegion,Chile,31.25,81.25
Tehran,TehranProvince,Iran,10.70075758,48.12992126
Karlovac,,Croatia,75,25
AddisAbaba,,Ethiopia,32.27272727,69.54545455
Jakarta,,Indonesia,22.265625,77.1
Ankara,AnkaraProvince,Turkey,38.9084507,57.95454545
Krasnodar,KrasnodarKrai,Russia,44.44444444,44.44444444
N'Djamena,,Chad,41.66666667,41.66666667
Niamey,,Niger,25,100
Calama,AntofagastaRegion,Chile,20,75
Nouakchott,,Mauritania,43.75,37.5
Riyadh,RiyadhProvince,SaudiArabia,33.69565217,44.57364341
Bamako,,Mali,15,62.5
Belgrade,BelgradeDistrict,Serbia,34.82532751,50.90497738
Dakar,Dakar,Senegal,10.34482759,82
Banjul,,TheGambia,75,62.5
Conakry,,Guinea,5,93.75
Monrovia,MontserradoCounty,Liberia,16.66666667,87.5
Gera,Thuringia,Germany,100,50
Kaiserslautern,Rhineland-Palatinate,Germany,87.5,5
Accra,GreaterAccraRegion,Ghana,20.55555556,90.78947368
Chiguayante,BiobioRegion,Chile,50,50
Chillan,NubleRegion,Chile,37.5,50
Zwickau,Saxony,Germany,75,50
Freetown,WesternArea,SierraLeone,25,100
Abuja,FederalCapitalTerritory,Nigeria,56.25,71.42857143
Lome,Maritime,Togo,37.5,75
Flensburg,Schleswig-Holstein,Germany,87.5,50
Amman,AmmanGovernorate,Jordan,34.03846154,63.10483871
Tübingen,Baden-Wurttemberg,Germany,89.28571429,8.333333333
Yaounde,Centre,Cameroon,14.0625,88.63636364
Coyhaique,AysenRegion,Chile,0,25
Malabo,,EquatorialGuinea,70,35
Beirut,BeirutGovernorate,Lebanon,16.96428571,81.80379747
Libreville,EstuaireProvince,Gabon,37.5,87.5
Muscat,MuscatGovernorate,Oman,65.57377049,31.73076923
Bangui,,CentralAfricanRepublic,0,100
Konstanz,Baden-Wurttemberg,Germany,79.16666667,25
Brazzaville,,RepublicoftheCongo,37.5,62.5
Minden,NorthRhine-Westphalia,Germany,100,50
Worms,Rhineland-Palatinate,Germany,60,100
Bujumbura,BujumburaMairieProvince,Burundi,50,75
Wilhelmshaven,LowerSaxony,Germany,100,50
Kigali,Kigaliprovince,Rwanda,56.25,50
Concon,ValparaisoRegion,Chile,37.5,50
Doha,AdDawhah,Qatar,37.87313433,46.16935484
Dodoma,DodomaRegion,Tanzania,50,50
Copiapo,AtacamaRegion,Chile,12.5,50
Marburg,Hesse,Germany,85,0
Nairobi,,Kenya,31.25,84.02777778
AtleticoMorelia,CoquimboRegion,Chile,50,50
Coronel,BiobioRegion,Chile,50,50
Lilongwe,CentralRegion,Malawi,45,95
Lusaka,LusakaProvince,Zambia,33.33333333,98.07692308
Manama,CapitalGovernorate,Bahrain,40.27777778,46.77419355
Catanzaro,Calabria,Italy,87.5,50
Maputo,,Mozambique,57.69230769,68.75
Kampala,,Uganda,19,84.09090909
Luanda,LuandaProvince,Angola,15,81.25
Mbabane,HhohhoDistrict,Eswatini,93.75,31.25
Maseru,MaseruDistrict,Lesotho,45.83333333,80
Antananarivo,,Madagascar,15.90909091,82.35294118
Gaborone,South-EastDistrict,Botswana,67.10526316,37.5
Harare,,Zimbabwe,38.46153846,87.5
Bayreuth,Bavaria,Germany,75,0
Pretoria,Gauteng,SouthAfrica,50.32894737,57.74647887
Astrakhan,AstrakhanOblast,Russia,50,56.25
PortLouis,PortLouisDistrict,Mauritius,50,55.95238095
Windhoek,KhomasRegion,Namibia,72.82608696,54.34782609
Bamberg,Bavaria,Germany,95.83333333,12.5
Victoria,,Seychelles,62.5,25
Aschaffenburg,Bavaria,Germany,77.77777778,40
Aalen,Baden-Wurttemberg,Germany,87.5,50
Fulda,Hesse,Germany,87.5,50
Bergheim,NorthRhine-Westphalia,Germany,75,50
Liege,Wallonia,Belgium,54.54545455,28.57142857
Wesel,NorthRhine-Westphalia,Germany,100,50
Frankfurt(Oder),Brandenburg,Germany,70,100
Osasco,SaoPaulo,Brazil,35,66.66666667
Fujairah,EmirateofFujairah,UnitedArabEmirates,25,62.5
Friedrichshafen,Baden-Wurttemberg,Germany,90,0
Glasgow,Scotland,UnitedKingdom,64.90384615,19.44444444
Neu-Ulm,Bavaria,Germany,100,50
Schweinfurt,Bavaria,Germany,87.5,62.5
Passau,Bavaria,Germany,90,0
Lucerne,CantonofLucerne,Switzerland,71.66666667,21.875
Arusha,ArushaRegion,Tanzania,91.66666667,50
Curitiba,Parana,Brazil,73.10126582,48.91304348
